precio_decimal,titulo,precio,precio_entero,ventas
90, Xiaomi Note 7 64gb 4gb Ram + Obsequio ,"<span class=""price__fraction"">224</span>",224, 17210 vendidos - Pichincha ( Quito ) 
, Xiaomi Note 7 64gb $225/ Note 7 32gb $210/ Note 7 128gb $265 ,"<span class=""price__fraction"">225</span>",225, 20792 vendidos - Pichincha ( Quito ) 
," Xiaomi Note 7 64gb $225, Mi A2 $200, Redmi Note 7 128gb $265 ","<span class=""price__fraction"">225</span>",225, 17826 vendidos - Pichincha ( Quito ) 
," Huawei P30 Lite $320, P30 Normal $650, Mate 20 Lite $240 ","<span class=""price__fraction"">320</span>",320, 15788 vendidos - Pichincha ( Quito ) 
98, Xiaomi Note 7 64gb 4gb Nebula Red +mica ,"<span class=""price__fraction"">224</span>",224, 16134 vendidos - Pichincha ( Quito ) 
, Samsung A70 399 A80 680 A30 32gb 225 A50 310 A10 149 A20 180 ,"<span class=""price__fraction"">399</span>",399, 9735 vendidos - Pichincha ( Quito ) 
, Samsung A10 32gb $150/ A30 32gb $225/ A50 64gb+64gb $300 ,"<span class=""price__fraction"">150</span>",150, 13696 vendidos - Pichincha ( Quito ) 
, Samsung A50 300 A30 225 A80 665 A10 150 A20 180 A70 400 ,"<span class=""price__fraction"">300</span>",300, 9694 vendidos - Pichincha ( Quito ) 
, Samsung J2 Core 16gb $120/ A10 32gb $150/ A20 32gb $180 ,"<span class=""price__fraction"">120</span>",120, 13998 vendidos - Pichincha ( Quito ) 
, Huawei P20 Lite Huawei P30 Lite 310 Huawei Mate 20 Lite 245 ,"<span class=""price__fraction"">225</span>",225, 20221 vendidos - Pichincha ( Quito ) 
," Xiaomi A2 $200, A2 Lite 64gb $190, Mi Redmi Note7 64gb $225 ","<span class=""price__fraction"">200</span>",200, 8403 vendidos - Pichincha ( Quito ) 
, Huawei P30 Normal/ P30pro $1100 /p30 Lite/ Mate 20 Pro $739 ,"<span class=""price__fraction"">615</span>",615, 5362 vendidos 
, Xiaomi Note 7 64gb 225 Redmi 6 180 Mi 9t 440 Xiaomi 6a 125 ,"<span class=""price__fraction"">225</span>",225, 13831 vendidos - Pichincha ( Quito ) 
," Sony Xperia Xz 4g,32gb/3gb/ram,cam23mp,homologado/waterproff ","<span class=""price__fraction"">289</span>",289, 88 vendidos 
, Samsung A70 128gb+128gb/ A30 64gb $245/ A50 64gb+64gb $300 ,"<span class=""price__fraction"">400</span>",400, 6506 vendidos - Pichincha ( Quito ) 
, Huawei Mate 20 Lite/ Mate 20 Pro 720/mate 20 128gb 520 ,"<span class=""price__fraction"">245</span>",245, 11835 vendidos - Pichincha ( Quito ) 
, Xiaomi Mi 8 Lite 64gb $240/ 8 Lite 128gb $280/ Mi 9 Se $380 ,"<span class=""price__fraction"">240</span>",240, 5812 vendidos - Pichincha ( Quito ) 
," Sony Xperia C4 ,4g,16gb/2gb,12mp/5mp,5.5pulg,homologado ","<span class=""price__fraction"">200</span>",200, 130 vendidos 
99, Xiaomi Note 7 64gb/mi 9 128 Gb $498/se 375/ Redmi 7 64gb 179 ,"<span class=""price__fraction"">219</span>",219, 9483 vendidos - Pichincha ( Quito ) 
99, Huawei P30 Lite 128gb $320 / Mate 20 Lite / Y9 2019 ,"<span class=""price__fraction"">319</span>",319, 10419 vendidos - Pichincha ( Quito ) 
," Xiaomi Mi 8 Lite 128gb $280, Mi 9 Se $380, Mi 9 128gb $520 ","<span class=""price__fraction"">280</span>",280, 4571 vendidos - Pichincha ( Quito ) 
, Samsung A10 32gb $150/ A20 32gb $180/ A30 64gb+64gb $245 ,"<span class=""price__fraction"">150</span>",150, 4700 vendidos - Pichincha ( Quito ) 
, Huawei P20 Lite 32gb Ram 4gb $230/ P30 Lite 128gb $320 ,"<span class=""price__fraction"">230</span>",230, 10473 vendidos - Pichincha ( Quito ) 
, Huawei P Smart 2019 185 P30 Lite 315 P20 Lite 225 Y9 2019 ,"<span class=""price__fraction"">185</span>",185, 4452 vendidos - Pichincha ( Quito ) 
99, Xiaomi Mi A3 64 Gb 4gb Ram Android One ,"<span class=""price__fraction"">334</span>",334, 7395 vendidos - Pichincha ( Quito ) 
